uid,date,wallet address
1,2025.10.27 13:00,0x8e1d52a6f0dcb7ee38498f877a743aa8502ff9e3
2,2025.10.27 13:04,0x7ea491269c67a1bfb0877edb547813d905481a47
3,2025.10.27 13:10,0x996d5b5125dbe5e5276a1abb047b52987609e4f4
4,2025.10.27 13:13,0x9cc93e7526b6e6b1265a96dd737918e29b4ca6e5
5,2025.10.27 13:13,0x32b266de725c0f99b1e810ab760826081b6d0843
6,2025.10.27 13:13,0x5a5adda588dadd5b62c76d50ed4ef30343a6c6a5
7,2025.10.27 13:15,0xe14939a3b4a8018d71772e4679cadfb5301c2b08
8,2025.10.27 13:18,0x03b18e5fa7c75d829179ee96baf3e93e3caa5152
9,2025.10.27 13:25,0xf3564a9bf694bf763341b18280b36cbb35a3945d
10,2025.10.27 13:25,0x8eb6f45497321ed8432c015f7a3954bc88899fad
11,2025.10.27 13:28,0x7076d8ecdd9cb68c8ccfefa60c7087c1638c2d5e
12,2025.10.27 13:29,0xef1313c5fc72844a18c3fcbf5b26b6459e935cb6
13,2025.10.27 13:31,0x8fe3ffc8d9e916827db2280ec5e0d25be49dee05
14,2025.10.27 13:36,0x438fe3363d301587b11e93a088c395797c0d4c26
15,2025.10.27 13:36,0xa44a8bbe82d0a0fd0c5918e366cb8faee014ed19
16,2025.10.27 13:37,0xae61463a35428b774d7985cef1a81a54ddbcc429
17,2025.10.27 13:39,0xaa9e966aa10bee469fd9c71ca20d01080629ac45
18,2025.10.27 13:41,0xc0d32df250daaa4c3d580c33ebe0776e332b7472
19,2025.10.27 13:43,0x22f03ead50b25830787a2c21298da87023efe293
20,2025.10.27 13:47,0x7c942f848dc0435212eba635bb60104c44cedab6
21,2025.10.27 14:01,0xd63ebf465723f4c670aa2381f410122b56c7e4aa
22,2025.10.27 14:08,0x1a730a23860fb15291ab2251d0e90fcc2ad473c1
23,2025.10.27 14:13,0xb1a73334c941327822609ca05b460e801278340f
24,2025.10.27 14:25,0x5beb55386fbb09535ea53892f690d9ffd0ac02ea
25,2025.10.27 14:35,0x5a21b9a30c2e8d3e2d98a51064784c969a362afb
26,2025.10.27 14:40,0xb4afe08d7f281bc9ddcb8384c0c5cc0f90419357
27,2025.10.27 14:41,0xa2e079365241d0732c88ef14d72d9eecd9d47300
28,2025.10.27 14:45,0x881f94184205e5b6aa7db6c9f0ba1ec4795ed22c
29,2025.10.27 14:52,0xb847bb9d6e759fb49cd8e255d4ced38ad6951122
30,2025.10.27 14:53,0x83b945c5849baa3d05e8ba88385560f0066952e5
31,2025.10.27 14:55,0x9d80bb57bee6efa2aef7ba0d0be0fe5cd4d42639
32,2025.10.27 15:02,0x4cc02bab64d0a029739a42c4b1a85d2bf1837157
33,2025.10.27 15:06,0x9eacd5e7f77cfa58dfd649db7de136206e9afb2f
34,2025.10.27 15:09,0x7fe269f1765175840fd5dd9e6f8e401e9edc724d
35,2025.10.27 15:16,0x8d7948873259921411681d73604999b9a8224e42
